source,target,orientation
r663,p50,224
r664,p460,80
r668,p280,156
r668,p401,80
r669,p1167,441
r669,p1168,563
r669,p1169,599
r669,p1170,635
r669,p1171,643
r669,p274,349
r669,p303,430
r669,p461,96
r669,p72,695
r669,p988,349
r669,p989,514
r669,p990,643
r67,p449,706
r670,p165,514
r670,p195,156
r670,p279,130
r670,p327,635
r670,p367,706
r670,p431,80
r670,p65,706
r670,p923,706
r670,p925,80
r672,p140,441
r672,p233,515
r672,p27,515
r672,p323,158
r672,p50,224
r673,p1167,441
r673,p1168,563
r673,p1169,599
r673,p1170,635
r673,p1171,643
r673,p274,349
r673,p303,430
r673,p461,96
r673,p72,695
r673,p988,349
r673,p989,514
r673,p990,643
r676,p723,515
r676,p90,187
r677,p320,80
r678,p166,634
r678,p257,696
r678,p436,224
r678,p50,224
r679,p13,706
r679,p257,696
r679,p436,224
r681,p280,156
r681,p697,643
r681,p766,430
r683,p74,80
r684,p65,706
r685,p787,156
r686,p395,156
r686,p99,634
r687,p207,80
r687,p279,130
r687,p431,80
r69,p1056,690
r69,p483,448
r69,p513,171
r69,p727,695
r690,p277,224
r691,p738,634
r692,p176,634
r692,p244,634
r692,p279,130
r692,p359,441
r692,p431,80
r692,p443,706
r693,p59,695
r694,p167,685
r694,p96,634
r695,p13,706
r695,p165,514
r695,p166,634
r695,p195,156
r695,p222,706
r695,p224,635
r695,p257,696
r695,p289,643
r695,p310,634
r695,p327,635
r695,p331,430
r695,p369,643
r695,p395,156
r695,p436,224
r695,p462,706
r695,p562,685
r695,p61,130
r695,p99,634
r696,p121,706
r697,p244,634
r697,p359,441
r697,p443,706
r698,p1012,96
r699,p498,514
r7,p125,80
r70,p279,130
r70,p367,706
r70,p431,80
r701,p29,514
r703,p74,80
r704,p165,514
r704,p289,643
r705,p359,441
r705,p443,706
r708,p328,706
r71,p347,634
r72,p245,96
r72,p460,80
r73,p279,130
r73,p431,80
r75,p327,635
r75,p461,96
r76,p186,80
r77,p244,634
r77,p359,441
r77,p443,706
r78,p100,634
r79,p100,634
r79,p35,82
r8,p460,80
r81,p118,706
r83,p238,80
r83,p402,706
r83,p44,695
r84,p249,634
r84,p403,430
r84,p49,156
r84,p89,706
r85,p290,441
r86,p274,349
r86,p303,430
r86,p461,96
r86,p473,634
r86,p476,130
r86,p494,96
r86,p986,695
r87,p145,706
r87,p516,12
r88,p166,634
r88,p264,140
r88,p375,187
r88,p462,706
r89,p11,80
r89,p151,80
r9,p122,430
r9,p985,430
r90,p441,80
r91,p244,634
r91,p359,441
r91,p443,706
r93,p165,514
r93,p224,635
r93,p375,187
r93,p462,706
r94,p1174,706
r94,p1175,706
r94,p1176,80
r94,p140,441
r94,p165,514
r94,p166,634
r94,p233,515
r94,p244,634
r94,p257,696
r94,p27,515
r94,p279,130
r94,p289,643
r94,p323,158
r94,p359,441
r94,p408,156
r94,p431,80
r94,p453,634
r94,p50,224
r94,p529,349
r94,p636,80
r95,p858,80
r96,p460,80
r97,p244,634
r97,p359,441
r97,p443,706
r98,p11,80
r98,p120,80
r98,p151,80
r98,p575,130
r98,p815,706
